Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
07-Mar-14,11357.9,11947.5,11332.6,11884.75,70896451,4513.2
10-Mar-14,11784.55,12157.9,11784.55,12108.1,60334008,4031.26
11-Mar-14,12132,12285.45,11994.85,12043.15,55513776,3456.4
12-Mar-14,11997.85,12142.9,11887.75,12024.1,33138239,2045.63
13-Mar-14,12062.35,12308.7,12062.35,12141.45,34350461,2227.7
14-Mar-14,11984.5,12090.05,11867.15,12055.85,34689267,2162.38
18-Mar-14,12093.2,12268.75,12052.35,12114.85,38152081,2260.01
19-Mar-14,12190.85,12256.45,12132.4,12186.55,33279656,2145.38
20-Mar-14,12160.65,12160.65,11989.95,12017.25,22772243,1584.34
21-Mar-14,12083.45,12123.15,12043.4,12092.35,33487353,3134.32
22-Mar-14,12111.85,12111.85,12061.65,12075.8,1617161,114.54
24-Mar-14,12134.65,12423,12134.65,12408.15,30968785,2191.53
25-Mar-14,12403.65,12523.7,12394.3,12450,24970542,1709.99
26-Mar-14,12529.45,12570.6,12469.15,12518.35,36244903,2252.97
27-Mar-14,12560.9,12767.5,12513.1,12604.95,55372139,4091.96
28-Mar-14,12693.25,12787.5,12633.3,12754.7,40065910,2514.98
31-Mar-14,12855.5,12869.35,12660.05,12742.05,38117571,2365.44
01-Apr-14,12806.15,12806.15,12509.95,12588.5,34822334,2441.1
02-Apr-14,12674.35,12740.15,12542.35,12715.3,38599263,2411.7
03-Apr-14,12749.85,12754.75,12518,12563.85,35361526,2290.98
04-Apr-14,12523.3,12656.5,12430.85,12551.7,29591726,1992.31
07-Apr-14,12562.35,12615.35,12439.55,12506.45,27570018,1989.49
09-Apr-14,12593.15,12957.55,12548.45,12937.4,40087907,2747.74
10-Apr-14,12937.4,13055.6,12881.2,12949.4,38376381,2705.63
11-Apr-14,12822.25,12934.9,12777.95,12840.2,24950117,1765.78
15-Apr-14,12830.5,12831.6,12537.7,12579.9,27141605,1661.47
16-Apr-14,12557.4,12727.05,12514.75,12563.15,30570767,1747.33
17-Apr-14,12564.55,12819.1,12514.8,12787.25,32613346,2056.63
21-Apr-14,12845.3,13002.75,12838.85,12958.5,30119863,1951.95
22-Apr-14,12989.55,13040.15,12913.9,12987.1,24792710,1634
23-Apr-14,12961.35,13176.05,12957.9,13122.1,49608481,3134.13
